#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cox5a	Higd1a	10090.ENSMUSP00000000090	10090.ENSMUSP00000054881	0	0	0	0.797	0.797
Cox5a	Cox7a2	10090.ENSMUSP00000000090	10090.ENSMUSP00000034881	0	0.406	0.720	0	0.826
Cox5a	Cox8b	10090.ENSMUSP00000000090	10090.ENSMUSP00000026561	0	0.806	0.540	0	0.907
Cox5a	Cox8a	10090.ENSMUSP00000000090	10090.ENSMUSP00000040717	0	0.310	0.800	0.437	0.915
Cox5a	Ndufa4	10090.ENSMUSP00000000090	10090.ENSMUSP00000144932	0	0.406	0.900	0.120	0.943
Cox5a	Uqcr11	10090.ENSMUSP00000000090	10090.ENSMUSP00000020372	0	0.865	0.720	0	0.960
Cox5a	Cox6a1	10090.ENSMUSP00000000090	10090.ENSMUSP00000047661	0	0.463	0.800	0.663	0.960
Cox5a	mt-Cytb	10090.ENSMUSP00000000090	10090.ENSMUSP00000081003	0	0.869	0.720	0	0.961
Cox5a	Cox6a2	10090.ENSMUSP00000000090	10090.ENSMUSP00000033049	0	0.888	0.540	0.446	0.968
Cox5a	Cox7b	10090.ENSMUSP00000000090	10090.ENSMUSP00000033582	0	0.863	0.800	0.085	0.972
Cox5a	Uqcr10	10090.ENSMUSP00000000090	10090.ENSMUSP00000054856	0	0.908	0.720	0	0.973
Cox5a	Uqcrq	10090.ENSMUSP00000000090	10090.ENSMUSP00000053145	0	0.911	0.720	0	0.974
Cox5a	Uqcrb	10090.ENSMUSP00000000090	10090.ENSMUSP00000021993	0	0.908	0.720	0.492	0.985
Cox5a	mt-Co3	10090.ENSMUSP00000000090	10090.ENSMUSP00000080997	0	0.919	0.900	0	0.991
Cox5a	mt-Co1	10090.ENSMUSP00000000090	10090.ENSMUSP00000080993	0	0.918	0.900	0.511	0.995
Cox5a	Cox7c	10090.ENSMUSP00000000090	10090.ENSMUSP00000115419	0	0.935	0.900	0.639	0.997
Cox5a	Cox6b1	10090.ENSMUSP00000000090	10090.ENSMUSP00000075150	0	0.907	0.800	0.888	0.997
Cox5a	mt-Co2	10090.ENSMUSP00000000090	10090.ENSMUSP00000080994	0	0.974	0.900	0.485	0.998
Cox5a	Cox6c	10090.ENSMUSP00000000090	10090.ENSMUSP00000123609	0	0.959	0.900	0.829	0.999
Cox6a1	Uqcr11	10090.ENSMUSP00000047661	10090.ENSMUSP00000020372	0	0.395	0.720	0	0.823
Cox6a1	Uqcrb	10090.ENSMUSP00000047661	10090.ENSMUSP00000021993	0	0.424	0.720	0	0.831
Cox6a1	Cox8b	10090.ENSMUSP00000047661	10090.ENSMUSP00000026561	0	0.075	0.540	0	0.556
Cox6a1	Cox6a2	10090.ENSMUSP00000047661	10090.ENSMUSP00000033049	0	0	0.900	0.097	0.905
Cox6a1	Cox7b	10090.ENSMUSP00000047661	10090.ENSMUSP00000033582	0	0.218	0.800	0.101	0.847
Cox6a1	Cox7a2	10090.ENSMUSP00000047661	10090.ENSMUSP00000034881	0	0.403	0.720	0.684	0.942
Cox6a1	Cox8a	10090.ENSMUSP00000047661	10090.ENSMUSP00000040717	0	0.267	0.800	0.520	0.923
Cox6a1	Ndufa4l2	10090.ENSMUSP00000047661	10090.ENSMUSP00000042185	0	0	0.540	0	0.540
Cox6a1	Ndufv1	10090.ENSMUSP00000047661	10090.ENSMUSP00000042967	0	0.500	0	0	0.500
Cox6a1	Ndufb10	10090.ENSMUSP00000047661	10090.ENSMUSP00000043543	0	0.540	0	0	0.540
Cox6a1	Cox6b2	10090.ENSMUSP00000047661	10090.ENSMUSP00000138709	0	0.315	0.360	0.250	0.642
Cox6a1	Cox7a1	10090.ENSMUSP00000047661	10090.ENSMUSP00000096193	0	0.417	0.360	0.159	0.658
